CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
718264233,Existing Customer,29,M,0,High School,Married,$40K - $60K,Blue,13,4,1,4,1458.0,671,787.0,1.583,2449,56,0.931,0.46,0.00013184,0.99987
713086908,Existing Customer,26,M,0,High School,Single,$40K - $60K,Blue,36,5,2,2,2212.0,1670,542.0,0.777,2520,51,0.545,0.755,9.4951e-05,0.99991
709220583,Existing Customer,34,M,3,Graduate,Single,$80K - $120K,Blue,21,6,4,2,4670.0,0,4670.0,0.883,2256,56,0.6,0.0,0.00022556,0.99977
817144458,Existing Customer,32,F,2,Graduate,Single,Less Than $40K,Blue,17,5,1,2,1438.3,1228,210.3,1.132,2580,67,0.971,0.854,5.5077e-05,0.99994
788826408,Existing Customer,33,M,1,Uneducated,Married,$120K +,Blue,16,6,1,3,10705.0,1352,9353.0,1.171,2434,58,0.812,0.126,8.9404e-05,0.99991
712037358,Existing Customer,30,M,0,Unknown,Married,$60K - $80K,Blue,23,3,3,2,5146.0,1773,3373.0,0.879,1509,45,0.667,0.345,0.00016966,0.99983
770769483,Existing Customer,35,M,2,Post-Graduate,Married,$40K - $60K,Blue,21,3,1,3,2256.0,775,1481.0,0.879,1749,33,0.435,0.344,0.000109,0.99989
789326808,Existing Customer,26,M,0,College,Single,$60K - $80K,Blue,15,5,1,2,8267.0,1720,6547.0,0.633,1917,37,0.48,0.208,4.595e-05,0.99995
712105533,Existing Customer,32,M,2,High School,Single,$40K - $60K,Blue,20,6,3,4,2235.0,1638,597.0,0.912,2905,56,0.806,0.733,0.00050163,0.9995
710084883,Existing Customer,34,M,2,College,Married,$80K - $120K,Blue,22,4,2,4,1631.0,0,1631.0,1.893,2962,57,1.111,0.0,0.00031749,0.99968
813961233,Existing Customer,30,M,0,Unknown,Single,$80K - $120K,Blue,25,5,2,2,4237.0,1676,2561.0,0.786,2465,88,0.725,0.396,0.00010736,0.99989
714350658,Existing Customer,32,M,1,Graduate,Single,Unknown,Blue,26,6,3,4,18889.0,1880,17009.0,0.702,2979,55,0.774,0.1,0.00048435,0.99952
822984108,Existing Customer,34,F,4,High School,Single,Less Than $40K,Blue,30,4,1,3,3046.0,2279,767.0,0.611,2330,69,0.643,0.748,9.4447e-05,0.99991
719469333,Existing Customer,33,F,1,High School,Single,Less Than $40K,Blue,25,6,3,4,6193.0,695,5498.0,0.632,2456,69,0.725,0.112,0.00047086,0.99953
789731433,Existing Customer,26,F,0,Unknown,Single,Less Than $40K,Blue,13,4,2,4,2063.0,1390,673.0,0.877,2602,42,0.556,0.674,0.00030803,0.99969
717567333,Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,26,6,3,2,3991.0,1982,2009.0,0.748,1661,35,0.944,0.497,0.00018665,0.99981
788107683,Existing Customer,35,M,4,High School,Married,$40K - $60K,Blue,27,6,2,3,5325.0,1318,4007.0,1.045,1814,43,0.593,0.248,0.00019517,0.9998
711213108,Existing Customer,32,M,1,College,Single,$80K - $120K,Blue,36,5,3,4,34516.0,0,34516.0,0.845,2305,60,0.714,0.0,0.00047091,0.99953
713735508,Existing Customer,35,M,3,Uneducated,Married,$80K - $120K,Blue,25,3,1,2,11927.0,675,11252.0,0.574,1986,36,0.636,0.057,5.8763e-05,0.99994
770901258,Existing Customer,30,F,1,Graduate,Married,Less Than $40K,Blue,17,3,1,3,1512.0,810,702.0,1.294,2558,44,0.571,0.536,8.6952e-05,0.99991
789048858,Existing Customer,32,F,1,Post-Graduate,Married,Less Than $40K,Blue,20,5,2,3,2234.0,1865,369.0,0.732,2115,59,0.439,0.835,0.00021143,0.99979
715074258,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,36,5,3,3,3930.0,0,3930.0,0.758,2067,42,0.355,0.0,0.0002596,0.99974
717374358,Existing Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,22,3,3,0,3637.0,1998,1639.0,1.412,2161,56,0.931,0.549,6.846e-05,0.99993
720836808,Existing Customer,35,M,3,High School,Single,$80K - $120K,Blue,28,4,2,2,11521.0,1147,10374.0,1.023,2260,68,1.125,0.1,0.00011482,0.99989
717277833,Existing Customer,27,F,1,Graduate,Single,Unknown,Blue,13,6,2,4,2339.0,2080,259.0,1.067,2294,45,0.452,0.889,0.00030653,0.99969
712820208,Existing Customer,32,F,0,High School,Single,Less Than $40K,Blue,36,5,2,4,2699.0,1609,1090.0,0.893,2141,56,0.806,0.596,0.00027243,0.99973
712586583,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,13,6,3,4,1643.0,1101,542.0,0.713,2152,50,0.471,0.67,0.00044282,0.99956
709183683,Existing Customer,31,F,0,Uneducated,Single,Less Than $40K,Blue,36,4,2,0,5391.0,0,5391.0,1.075,1971,56,0.6,0.0,3.7045e-05,0.99996
715241583,Existing Customer,34,M,3,High School,Married,$120K +,Blue,25,3,2,4,23959.0,2517,21442.0,0.926,1870,45,0.667,0.105,0.00032942,0.99967
710475408,Existing Customer,33,M,3,High School,Married,$60K - $80K,Blue,25,5,2,2,14918.0,2028,12890.0,1.342,2171,35,1.059,0.136,0.00011482,0.99989
714697533,Existing Customer,26,M,1,High School,Single,$60K - $80K,Blue,15,6,3,3,4327.0,0,4327.0,0.624,2344,48,0.297,0.0,0.00027604,0.99972
719338383,Existing Customer,34,M,2,High School,Married,$120K +,Blue,21,3,3,3,6259.0,1063,5196.0,0.668,1836,50,0.515,0.17,0.00029408,0.99971
720747633,Existing Customer,32,M,1,Unknown,Married,$40K - $60K,Blue,36,3,2,4,8998.0,1471,7527.0,0.844,1931,48,0.371,0.163,0.00033692,0.99966
716773533,Existing Customer,33,M,3,Graduate,Married,$60K - $80K,Blue,36,5,1,3,1726.0,1215,511.0,1.175,1712,48,0.548,0.704,9.6126e-05,0.9999
719819958,Existing Customer,34,M,2,Uneducated,Married,$40K - $60K,Blue,26,5,1,4,1438.3,708,730.3,1.212,2243,43,0.483,0.492,0.00016249,0.99984
818926833,Existing Customer,34,F,3,College,Married,$40K - $60K,Blue,29,4,1,2,2000.0,0,2000.0,0.782,1944,42,0.75,0.0,5.5564e-05,0.99994
721217283,Existing Customer,27,M,0,Graduate,Single,$120K +,Blue,17,6,2,2,8713.0,1354,7359.0,0.558,2094,36,0.333,0.155,9.7673e-05,0.9999
716793108,Existing Customer,26,M,0,College,Single,Less Than $40K,Blue,36,4,1,2,1934.0,1070,864.0,0.448,2334,61,0.452,0.553,4.595e-05,0.99995
719139558,Existing Customer,26,M,0,Uneducated,Single,Less Than $40K,Blue,36,4,3,4,2665.0,1567,1098.0,0.586,2514,64,0.455,0.588,0.00045531,0.99954
714787383,Existing Customer,32,F,0,College,Married,Unknown,Blue,36,5,3,3,6715.0,1314,5401.0,0.987,1731,41,0.519,0.196,0.00025239,0.99975
720497958,Existing Customer,29,M,1,Graduate,Married,$80K - $120K,Blue,14,5,3,2,14853.0,0,14853.0,1.025,1800,41,0.519,0.0,0.00016883,0.99983
710872233,Existing Customer,27,M,0,Unknown,Single,$40K - $60K,Blue,17,5,1,2,4610.0,0,4610.0,0.794,2280,49,0.4,0.0,5.1951e-05,0.99995
720917808,Existing Customer,35,M,2,High School,Single,$40K - $60K,Blue,36,5,3,4,2100.0,950,1150.0,0.764,2623,74,1.114,0.452,0.00050163,0.9995
719873808,Existing Customer,34,M,1,College,Married,$60K - $80K,Blue,23,3,2,2,5510.0,1604,3906.0,0.551,1995,53,0.262,0.291,0.00010387,0.9999
711330408,Existing Customer,35,F,2,College,Married,$40K - $60K,Blue,24,4,1,3,2939.0,1865,1074.0,0.932,2077,47,0.679,0.635,9.0064e-05,0.99991
714580158,Existing Customer,26,M,0,Post-Graduate,Married,$40K - $60K,Blue,36,6,1,4,2773.0,2080,693.0,0.695,3567,73,0.622,0.75,0.00015958,0.99984
788038383,Existing Customer,33,F,3,Graduate,Married,Less Than $40K,Blue,25,3,2,2,2307.0,1385,922.0,1.515,2440,48,0.846,0.6,0.00011811,0.99988
807044958,Existing Customer,34,M,3,High School,Married,$40K - $60K,Blue,29,6,3,3,2937.0,869,2068.0,1.493,2171,45,0.875,0.296,0.00030516,0.99969
708173433,Existing Customer,26,F,1,Unknown,Single,$40K - $60K,Blue,14,4,2,4,5645.0,2324,3321.0,0.655,2482,57,0.727,0.412,0.00033692,0.99966
778401033,Existing Customer,32,M,0,High School,Married,$60K - $80K,Blue,13,3,3,4,14308.0,1889,12419.0,1.053,1659,39,1.167,0.132,0.00043049,0.99957
718563483,Existing Customer,30,M,2,Unknown,Single,$120K +,Blue,14,3,2,3,1548.0,0,1548.0,0.828,2611,64,0.455,0.0,0.00021042,0.99979
710035008,Existing Customer,31,F,0,Uneducated,Single,Less Than $40K,Blue,24,3,2,4,3827.0,1397,2430.0,0.88,2491,64,1.0,0.365,0.00028814,0.99971
709735008,Existing Customer,35,M,2,High School,Married,$80K - $120K,Blue,22,3,1,4,3023.0,1435,1588.0,0.62,1920,34,0.619,0.475,0.00015363,0.99985
710307933,Existing Customer,32,F,0,College,Single,Less Than $40K,Blue,24,3,3,4,2917.0,2517,400.0,0.833,2471,60,0.875,0.863,0.00043053,0.99957
715870758,Existing Customer,35,M,4,Graduate,Married,$120K +,Blue,30,4,3,4,34516.0,1018,33498.0,1.129,2350,55,0.774,0.029,0.00054115,0.99946
709986633,Existing Customer,29,M,1,High School,Married,$40K - $60K,Blue,36,3,1,3,1438.3,0,1438.3,0.742,2144,41,0.577,0.0,8.453e-05,0.99992
771349458,Existing Customer,33,M,2,Graduate,Married,$40K - $60K,Blue,20,4,3,3,5657.0,1792,3865.0,0.904,1914,46,0.769,0.317,0.00030251,0.9997
717670758,Existing Customer,30,F,1,Graduate,Single,Less Than $40K,Blue,20,5,2,3,5030.0,1327,3703.0,0.803,2523,71,0.775,0.264,0.00017969,0.99982
771556308,Existing Customer,26,F,0,High School,Single,Less Than $40K,Blue,13,6,3,4,3517.0,1195,2322.0,0.556,2255,48,0.5,0.34,0.00043049,0.99957
709288383,Existing Customer,32,M,2,Graduate,Single,$80K - $120K,Blue,26,5,1,3,29961.0,789,29172.0,0.833,2337,69,0.605,0.026,9.2637e-05,0.99991
711902058,Existing Customer,35,M,2,Graduate,Married,$60K - $80K,Blue,36,3,3,2,1438.3,0,1438.3,1.623,2492,55,0.897,0.0,0.00017987,0.99982
713203908,Existing Customer,26,M,0,Uneducated,Single,$40K - $60K,Blue,15,4,1,3,2158.0,1695,463.0,0.766,1833,27,0.588,0.785,8.1736e-05,0.99992
711772008,Attrited Customer,35,F,3,Graduate,Single,Less Than $40K,Blue,22,1,2,1,1890.0,666,1224.0,0.691,1483,36,0.5,0.352,0.98616,0.01384
802087683,Existing Customer,32,M,0,Post-Graduate,Married,$60K - $80K,Blue,26,6,2,3,5478.0,1491,3987.0,1.304,2456,55,0.571,0.272,0.0001933,0.99981
712491108,Existing Customer,35,M,1,Post-Graduate,Married,$80K - $120K,Blue,20,6,3,4,13046.0,1177,11869.0,1.214,2601,52,0.733,0.09,0.00056988,0.99943
779126658,Existing Customer,26,F,0,Graduate,Single,$40K - $60K,Blue,13,5,1,2,5655.0,0,5655.0,0.842,2312,61,0.649,0.0,4.7263e-05,0.99995
793222008,Existing Customer,32,M,0,High School,Married,$60K - $80K,Blue,26,5,2,3,5397.0,1784,3613.0,0.904,2056,49,0.633,0.331,0.0001597,0.99984
721311333,Existing Customer,32,M,1,High School,Married,Unknown,Blue,22,3,1,4,16912.0,1590,15322.0,1.274,2413,41,0.708,0.094,0.00014421,0.99986
799498158,Existing Customer,31,M,1,Post-Graduate,Married,$60K - $80K,Blue,22,5,1,3,2685.0,1580,1105.0,0.727,1642,36,0.636,0.588,0.00010231,0.9999
716075208,Existing Customer,32,F,3,High School,Married,Less Than $40K,Blue,22,4,2,4,4561.0,2029,2532.0,0.768,1874,38,0.52,0.445,0.00032942,0.99967
715247508,Existing Customer,30,F,1,Graduate,Married,Less Than $40K,Blue,36,3,2,2,7087.0,1060,6027.0,0.709,1712,37,0.609,0.15,0.00010684,0.99989
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969,46,1.3,0.073,0.00019396,0.99981
719227233,Existing Customer,27,F,1,Unknown,Single,Less Than $40K,Blue,36,3,3,3,1553.0,723,830.0,0.666,1954,43,0.344,0.466,0.00031211,0.99969
711050058,Existing Customer,33,F,2,Uneducated,Married,$40K - $60K,Blue,23,4,2,4,6732.0,0,6732.0,0.856,1644,45,0.731,0.0,0.00033577,0.99966
789849108,Existing Customer,35,M,1,Graduate,Single,$60K - $80K,Blue,25,6,1,2,14365.0,0,14365.0,0.61,2290,62,0.632,0.0,5.1697e-05,0.99995
710391258,Existing Customer,27,M,0,Graduate,Married,$40K - $60K,Blue,36,3,2,4,11473.0,829,10644.0,0.707,2147,41,0.519,0.072,0.00028024,0.99972
808750458,Existing Customer,32,M,1,Doctorate,Single,$60K - $80K,Blue,27,5,3,3,10029.0,606,9423.0,0.727,2192,58,0.657,0.06,0.00041087,0.99959
787509408,Existing Customer,26,M,0,College,Single,Unknown,Blue,13,6,3,2,2347.0,0,2347.0,0.863,2595,56,0.333,0.0,0.00015007,0.99985
719206308,Existing Customer,32,M,1,High School,Married,$60K - $80K,Blue,24,4,2,2,4116.0,1223,2893.0,0.73,1657,38,0.52,0.297,0.00010386,0.9999
718274283,Existing Customer,35,M,3,College,Single,$60K - $80K,Blue,36,5,1,3,2780.0,0,2780.0,0.565,2469,67,0.811,0.0,9.3457e-05,0.99991
779611008,Existing Customer,29,M,0,Graduate,Married,$40K - $60K,Blue,18,4,3,4,4532.0,0,4532.0,0.734,1885,55,0.528,0.0,0.00044282,0.99956
811467708,Existing Customer,33,M,2,Graduate,Married,$80K - $120K,Blue,28,4,2,2,22399.0,1431,20968.0,1.019,2390,62,0.722,0.064,0.00011382,0.99989
718651083,Existing Customer,35,F,2,Graduate,Single,Unknown,Blue,25,4,1,4,10329.0,514,9815.0,0.708,2461,68,0.838,0.05,0.00015804,0.99984
813990483,Existing Customer,27,F,0,High School,Married,Less Than $40K,Blue,22,4,1,2,1864.0,1384,480.0,0.904,1662,32,0.391,0.742,4.5946e-05,0.99995
789627258,Existing Customer,31,M,1,Graduate,Single,$40K - $60K,Blue,25,5,3,3,1935.0,1033,902.0,0.623,2498,60,1.0,0.534,0.00028395,0.99972
708744933,Existing Customer,35,M,2,High School,Married,$60K - $80K,Blue,36,4,2,4,19127.0,1880,17247.0,0.788,1859,33,0.571,0.098,0.00031746,0.99968
816033783,Existing Customer,26,M,0,High School,Single,$60K - $80K,Blue,21,6,2,3,1672.0,957,715.0,0.576,2099,34,0.417,0.572,0.0001597,0.99984
718418958,Attrited Customer,30,M,1,Post-Graduate,Single,Less Than $40K,Blue,36,6,2,4,5061.0,0,5061.0,0.911,1309,38,0.462,0.0,0.99724,0.002764
808292958,Existing Customer,26,M,0,Graduate,Single,Less Than $40K,Blue,20,6,2,3,1438.3,495,943.3,1.062,2546,40,0.333,0.344,0.00016428,0.99984
717385983,Existing Customer,30,M,0,Graduate,Married,Less Than $40K,Blue,21,6,6,2,2490.0,0,2490.0,0.859,1645,30,0.667,0.0,0.00012185,0.99988
